Srno,ENERC_KCAL,ENERC_KCAL%,FAT,FAT%,FASAT,FASAT%,PROCNT,PROCNT%,CHOLE,CHOLE%,CHOCDF,CHOCDF%,FIBTG,FIBTG%,FATRN,FAMS,FAPU,SUGAR,CHOCDF.net,NA,NA%,CA,CA%,FE,FE%,ZN,ZN%,VITC,VITC%,THIA,THIA%,NIA,NIA%,VITB6A,VITB6A%,MG,MG%,K,K%,P,P%,VITA_RAE,VITA_RAE%,RIBF,RIBF%,FOLDFE,FOLDFE%,VITB12,VITB12%,VITD,VITD%,TOCPHA,TOCPHA%,VITK1,VITK1%,WATER,FOLFD,FOLAC
1,226.0912468,11.30456234,7.3661825,11.33258846,0.9560901,4.7804505,9.6239625,19.247925,0,0,36.590375,12.19679167,10.835,43.34,0.00336,3.09632524,2.442946155,9.4381125,25.755375,470.8614928,19.61922887,168.9700414,16.89700414,9.896553538,54.98085299,1.829652777,16.63320706,35.59515,39.55016667,0.2494685,20.78904167,2.091850625,13.07406641,0.631751875,48.59629808,118.8437153,28.29612268,911.2037221,19.38731324,199.65675,28.52239286,754.9725,83.88583333,0.25526775,19.63598077,138.146875,34.53671875,0,0,0,0,4.83123997,32.20826647,12.16038058,10.13365048,145.5853006,138.146875,0
2,740.733,37.03665,6.108319167,9.397414103,1.000479583,5.002397917,20.47681542,40.95363083,0,0,152.9685042,50.98950139,10.52016667,42.08066667,0.000225,2.269887708,1.967735625,15.51224667,142.4483375,2065.113446,86.04639356,190.4021232,19.04021232,13.33237362,74.06874234,3.722748673,33.84316975,226.7130167,251.9033519,0.987335083,82.27792361,10.384895,64.90559375,1.126676042,86.66738782,143.2518784,34.10759009,1477.020111,31.4259598,372.3158333,53.18797619,1020.7815,113.4201667,0.253338833,19.48760256,528.6422083,132.1605521,0,0,0,0,3.679013333,24.52675556,111.8077,93.17308333,703.0709465,157.3422083,217.25
4,1769.10475,88.4552375,112.1416525,172.5256192,24.587645,122.938225,110.35906,220.71812,375,125,90.4533,30.1511,19.77545,79.1018,0.614215,52.845405,26.66537,33.93905,70.67785,3329.680401,138.7366834,522.712515,52.2712515,15.85925333,88.10696295,9.468229646,86.07481496,789.01405,876.6822778,1.0507375,87.56145833,40.48898,253.056125,4.252245,327.0957692,310.2048965,73.85830868,3568.327672,75.92186535,1160.38,165.7685714,1269.00275,141.0003056,1.3601625,104.6278846,212.51125,53.1278125,1.55,64.58333333,1,6.666666667,14.29915,95.32766667,948.8555,790.7129167,1109.888339,212.51125,0
5,306.9556446,15.34778223,9.361244375,14.40191442,0.847033209,4.235166045,10.89652438,21.79304875,0,0,51.22614375,17.07538125,11.2168125,44.86725,0.022907982,4.87850702,2.81475314,16.79186188,40.00933125,985.4031159,41.05846316,115.3182934,11.53182934,3.841983565,21.34435314,1.771389451,16.10354047,160.044125,177.8268056,0.319398563,26.61654688,2.85164875,17.82280469,0.913359375,70.25841346,104.876882,24.97068619,1201.802931,25.57027513,208.7330625,29.81900893,352.21825,39.13536111,0.221044438,17.00341827,207.604125,51.90103125,0,0,0,0,2.649381375,17.6625425,30.19768285,25.16473571,348.8720083,207.604125,0
6,1267.91625,63.3958125,47.17223938,72.57267596,19.14923763,95.74618813,26.65438438,53.30876875,65.536,21.84533333,194.4292638,64.80975458,18.5185125,74.07405,0,18.88313538,5.745499375,6.230021875,175.9107513,3867.267269,161.1361362,463.810831,46.3810831,21.55693647,119.7607582,6.353822329,57.76202117,133.339125,148.1545833,0.475418563,39.61821354,5.83722275,36.48264219,0.749060375,57.62002885,323.0511814,76.91694796,1406.790032,29.93170281,570.0830625,81.4404375,1395.08415,155.00935,0.456918438,35.14757212,164.097125,41.02428125,0.00256,0.106666667,0,0,3.3580275,22.38685,40.183275,33.4860625,1387.094687,164.097125,0.5634
7,593.9673009,29.69836505,38.08752502,58.59619233,15.2238656,76.11932801,13.1397,26.2794,0,0,64.8429,21.6143,12.79605,51.1842,0.00084,11.37407245,9.074177686,28.374675,52.04685,2480.355472,103.3481446,263.7968482,26.37968482,11.01818589,61.21214383,3.519474245,31.99522041,371.34185,412.6020556,0.516895,43.07458333,6.52746,40.796625,1.5337425,117.9801923,174.9430366,41.65310395,2712.821234,57.71960072,438.5785,62.65407143,2242.149,249.1276667,0.7943445,61.10342308,151.0495,37.762375,0,0,0,0,14.84698533,98.97990218,38.40750048,32.0062504,942.2274091,151.0495,1.1268
8,1567.263059,78.36315295,36.22562743,55.73173451,14.53938965,72.69694826,59.63606354,119.2721271,69.67078125,23.22359375,266.9155887,88.97186291,38.47454444,153.8981778,0,11.87165031,4.885381424,15.85261944,228.4410443,705.1556076,29.38148365,1021.207562,102.1207562,14.72917535,81.82875193,11.49139792,104.4672538,107.3114444,119.2349383,1.630710774,135.8925645,12.9449837,80.90614811,1.941086076,149.3143136,619.1031424,147.4055101,2949.196458,62.74886082,1571.281712,224.468816,1060.906042,117.8784491,0.908122569,69.85558226,503.9825868,125.9956467,0.900703125,37.52929687,0.42065625,2.804375,3.394857118,22.63238079,467.607625,389.6730208,559.1737789,503.9825868,0
11,1099.376087,54.96880433,8.44265949,12.98870691,1.464003985,7.320019925,65.3295996,130.6591992,0,0,203.785436,67.92847867,47.68635095,190.7454038,0,3.975224298,1.973622077,41.14791536,156.099085,2115.654614,88.15227558,735.0184001,73.50184001,29.85597212,165.8665118,10.49499879,95.40907992,79.3195,88.13277778,1.360372842,113.3644035,4.57166111,28.57288194,1.425718547,109.6706574,559.4457376,133.2013661,5986.341864,127.3689758,931.756917,133.108131,1319.057407,146.5619341,0.52621057,40.47773615,1072.779596,268.1948989,0,0,0,0,4.31572996,28.77153307,67.917436,56.59786333,618.129443,1072.779596,0
13,441.0347905,22.05173952,10.39501441,15.99232986,1.325858279,6.629291396,25.49562438,50.99124875,0,0,65.30214375,21.76738125,12.0759125,48.30365,0,4.5699095,3.652872807,2.149911875,53.22623125,1363.898969,56.8291237,104.9455619,10.49455619,10.39436196,57.74645534,3.571327825,32.46661659,5.286825,5.87425,0.885180563,73.76504688,2.81343875,17.58399219,0.563484375,43.34495192,74.62685401,17.76829857,739.6325892,15.7368636,310.2160625,44.31658036,22.25925,2.47325,0.233663438,17.97411058,468.293125,117.0732813,0,0,0,0,3.955062968,26.36708646,23.50822287,19.59018573,481.3237863,468.293125,0.5634
15,1029.152,51.4576,12.3811,19.04784615,2.05161,10.25805,30.9606,61.9212,6.1,2.033333333,220.7318,73.57726667,45.2884,181.1536,0.00168,7.19263,1.87307,12.29806,175.4434,265.12,11.04666667,585.222,58.5222,19.2714,107.0633333,6.0415,54.92272727,220.1118,244.5686667,1.029342,85.7785,13.20643,82.5401875,3.33053,256.1946154,428.576,102.0419048,5411.03,115.1282979,886.172,126.596,509.2,56.57777778,0.64319,49.47615385,164.912,41.228,0.2745,11.4375,0.793,5.286666667,2.3395,15.59666667,27.609,23.0075,902.50988,164.912,0
20,1061.399,53.06995002,27.73783117,42.67358641,16.13402539,80.67012695,26.35618356,52.71236711,63.20325124,21.06775041,192.8327925,64.2775975,36.9134375,147.65375,0.002442,7.657373995,1.992088239,51.55635625,155.919355,214.7713049,8.948804369,454.1968229,45.41968229,13.81051625,76.72509028,4.576122701,41.60111546,396.7012,440.7791111,1.054251138,87.85426148,9.046039663,56.53774789,2.985505263,229.654251,289.4695074,68.92131128,4159.202189,88.49366359,674.6749131,96.38213044,1543.876222,171.5418024,0.693976439,53.38280296,330.551875,82.63796875,0.002468877,0.102869875,0,0,3.57606306,23.8404204,82.80768422,69.00640352,1581.273256,330.551875,0
24,1355.868,67.7934,83.46781,128.4120154,35.4191,177.0955,123.1688,246.3376,598,199.3333333,24.9187,8.306233333,6.9229,27.6916,0.30886,25.805935,13.56594,12.03595,17.9958,2053.631388,85.5679745,100.1398349,10.01398349,8.62469023,47.91494572,13.22955765,120.2687059,348.8965,387.6627778,0.72915,60.7625,33.77565,211.0978125,2.979245,229.1726923,183.8185765,43.76632773,2155.936612,45.87099174,1206.187,172.3124286,186.186,20.68733333,1.44263,110.9715385,74.84,18.71,3.445,143.5416667,0.65,4.333333333,2.75075,18.33833333,42.163,35.13583333,648.4870153,74.84,0.5634
42,1215.40875,60.7704375,85.95489167,132.2382949,30.50740083,152.5370042,70.73537833,141.4707567,373.1838333,124.3946111,45.0879,15.0293,10.54705,42.1882,0.208002,32.20037817,14.70491725,13.864735,34.54085,1629.919243,67.91330177,306.0433005,30.60433005,10.00098392,55.5610218,6.909977363,62.81797603,149.72965,166.3662778,0.525948708,43.82905903,18.53703963,115.8564977,2.099371708,161.4901314,174.3303528,41.50722686,1675.136864,35.64120987,829.647625,118.5210893,342.015525,38.001725,0.775463542,59.65104167,74.58825,18.6470625,2.169982083,90.41592014,0.40025,2.668333333,4.234973333,28.23315556,29.35199167,24.45999306,494.2953006,74.58825,0.5634
43,643.9287609,32.19643804,33.72659063,51.88706251,14.42620668,72.1310334,13.70363253,27.40726506,0,0,90.66462778,30.22154259,22.78282697,91.13130789,0.00042,10.65697226,6.276912242,45.17704899,67.88180081,1959.469217,81.64455072,383.5943011,38.35943011,9.01586591,50.08814394,2.928405491,26.6218681,191.7891359,213.0990399,0.481550386,40.12919882,4.664056018,29.15035011,1.56605397,120.46569,205.0600902,48.823831,2079.026759,44.2346119,338.3845182,48.34064546,489.7342544,54.41491715,0.353562476,27.19711358,113.626445,28.40661125,0,0,0,0,8.165450753,54.43633835,34.08443412,28.4036951,689.7539774,113.626445,4.5072
44,588.801,29.44005,32.23491,49.59216923,8.96411,44.82055,14.06591,28.13182,30.53,10.17666667,80.57942,26.85980667,34.1618,136.6472,0.05698,15.78684,5.75283,33.27825,46.41762,2269.66848,94.56952,314.1933898,31.41933898,9.331945359,51.84414089,3.096404957,28.14913598,263.3237,292.5818889,0.474187,39.51558333,6.441604,40.260025,1.070976,82.38276923,231.1773496,55.04222609,2605.430797,55.4346978,370.493,52.92757143,715.295,79.47722222,0.457165,35.16653846,189.226,47.3065,0.02414,1.005833333,0,0,6.97324,46.48826667,56.537,47.11416667,841.3059299,189.226,0
45,43.45933333,2.172966667,2.0995,3.23,1.166498667,5.832493333,2.1495,4.299,6.1,2.033333333,4.2508,1.416933333,0.078,0.312,0,0.503949333,0.160547333,3.0805,4.1728,48.26505892,2.011044122,85.34529419,8.534529419,0.241286667,1.340481481,0.295804314,2.689130127,1.616,1.795555556,0.03036,2.53,0.08349,0.5218125,0.04216,3.243076923,16.25976473,3.871372555,116.7453333,2.483943262,56.32933333,8.047047619,31.24,3.471111111,0.109120667,8.393897436,5.156666667,1.289166667,0.2745,11.4375,0.793,5.286666667,0.0427,0.284666667,0.183,0.1525,531.6008299,5.156666667,0
