Srno,uri,yield,calories,totalCO2Emissions,co2EmissionsClass,totalWeight,dietLabels,healthLabels,cautions,cuisineType,mealType,dishType
1,http://www.edamam.com/ontologies/edamam.owl#recipe_8eb9e9b2b42b4ba08bd6cd64f46d007f,2,226,203.843429,B,203.0257967,"BALANCED,HIGH_FIBER","VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",SULFITES,mediterranean,lunch/dinner,starter
2,http://www.edamam.com/ontologies/edamam.owl#recipe_9cd4ad34e74a400aa2f1c3f6baf8e7ee,4,740,1224.029338,D,893.1961729,LOW_FAT,"LOW_FAT_ABS,SUGAR_CONSCIOUS,VEGAN,VEGETARIAN,PESCATARIAN,MEDITERRANEAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",,indian,lunch/dinner,condiments and sauces
4,http://www.edamam.com/ontologies/edamam.owl#recipe_34f496656b40474f970917e22c784cfa,8,1769,6306.573809,E,1439.139646,LOW_CARB,"MEDITERRANEAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",,indian,lunch/dinner,starter
5,http://www.edamam.com/ontologies/edamam.owl#recipe_54576c1281bc49b48e43475ab3b65899,2,306,577.282738,C,426.0550165,,"VEGAN,VEGETARIAN,PESCATARIAN,MEDITERRANEAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",,indian,lunch/dinner,
6,http://www.edamam.com/ontologies/edamam.owl#recipe_9dc8648ec4ad4c4fa343cb12d64b9d5f,6,1267,NaN,NaN,1672.699393,,"SUGAR_CONSCIOUS,VEGETARIAN,PESCATARIAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",FODMAP,indian,lunch/dinner,starter
7,http://www.edamam.com/ontologies/edamam.owl#recipe_a312fdaea5ab462aa420816f8bffa6c6,4,593,NaN,NaN,1072.864778,,"VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER","TREE_NUTS,FODMAP",middle eastern,lunch/dinner,condiments and sauces
8,http://www.edamam.com/ontologies/edamam.owl#recipe_c423c36758be4055be673b699010baf6,6,1567,3598.839117,D,934.3149306,"HIGH_FIBER,LOW_SODIUM","SUGAR_CONSCIOUS,VEGETARIAN,PESCATARIAN,MEDITERRANEAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER","EGGS,MILK,SULFITES",indian,lunch/dinner,
11,http://www.edamam.com/ontologies/edamam.owl#recipe_343827c9af494d30920f60584aa0237a,4,1099,1375.700598,D,915.0282567,"HIGH_FIBER,LOW_FAT","LOW_FAT_ABS,VEGETARIAN,PESCATARIAN,DAIRY_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,KOSHER",,middle eastern,lunch/dinner,condiments and sauces
13,http://www.edamam.com/ontologies/edamam.owl#recipe_1c5190b2faf3439ca32783f3730fe103,4,441,NaN,NaN,589.9360558,,"LOW_FAT_ABS,SUGAR_CONSCIOUS,KIDNEY_FRIENDLY,VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",FODMAP,middle eastern,lunch/dinner,condiments and sauces
15,http://www.edamam.com/ontologies/edamam.owl#recipe_9495a3182b384d898e651bbcb813f6c8,4,1029,759.6921673,C,1183.2,"HIGH_FIBER,LOW_FAT,LOW_SODIUM","SUGAR_CONSCIOUS,VEGETARIAN,PESCATARIAN,MEDITERRANEAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",,french,lunch/dinner,starter
